City,Date,Score
Vancouver,2016-01-16,1.6438085408627945
Albuquerque,2016-01-17,1.2419854228229048
Atlanta,2016-01-17,1.4690642546339614
Boston,2016-01-17,1.6785183852366319
Charlotte,2016-01-17,1.4666193579331408
Chicago,2016-01-17,1.649288591576392
Dallas,2016-01-17,1.522250397172164
Denver,2016-01-17,1.254477975562322
Detroit,2016-01-17,1.3482375977049235
Houston,2016-01-17,1.61136130200603
Indianapolis,2016-01-17,1.389886377095713
Jacksonville,2016-01-17,1.5518886284785334
Kansas City,2016-01-17,1.529702900441432
Las Vegas,2016-01-17,1.3260977673364276
Los Angeles,2016-01-17,1.3112233135302953
Miami,2016-01-17,1.2981706758288476
Minneapolis,2016-01-17,1.5985882356640608
Nashville,2016-01-17,1.4527678299431706
New York,2016-01-17,1.411841174874323
Philadelphia,2016-01-17,1.343238514117357
Phoenix,2016-01-17,1.5961488621710025
Pittsburgh,2016-01-17,1.0481364043111732
Portland,2016-01-17,1.378565566107218
San Antonio,2016-01-17,1.1379931732690816
San Diego,2016-01-17,1.4689053442511486
San Francisco,2016-01-17,1.6631884868417177
Seattle,2016-01-17,1.556277952005008
Vancouver,2016-01-17,1.702916332644035
Albuquerque,2016-01-18,1.2849459571642312
Atlanta,2016-01-18,1.489330641407334
Boston,2016-01-18,1.5119578436673249
Charlotte,2016-01-18,1.411940245291316
Chicago,2016-01-18,1.5866583609198457
Dallas,2016-01-18,1.4116367761977882
Denver,2016-01-18,1.2169533368491885
Detroit,2016-01-18,1.5488242624270567
Houston,2016-01-18,1.4988807327484721
Indianapolis,2016-01-18,1.7479961068497039
Jacksonville,2016-01-18,1.4751300896061321
Kansas City,2016-01-18,1.5881832145692454
Las Vegas,2016-01-18,1.4030959189078518
Los Angeles,2016-01-18,1.347456870619187
Miami,2016-01-18,1.5037361085335668
Minneapolis,2016-01-18,1.493014190294249
Nashville,2016-01-18,1.3679097911842764
New York,2016-01-18,1.6763425410021604
Philadelphia,2016-01-18,1.3250488092724892
Phoenix,2016-01-18,1.4763928498128251
Pittsburgh,2016-01-18,1.5309582421041994
Portland,2016-01-18,1.3858429223351967
San Antonio,2016-01-18,1.5118995414724052
San Diego,2016-01-18,1.375604866974211
San Francisco,2016-01-18,1.569038458859566
Seattle,2016-01-18,1.8009834855080293
Vancouver,2016-01-18,1.6227715482768723
Albuquerque,2016-01-19,1.6453851523864773
Atlanta,2016-01-19,1.2710825964918844
Boston,2016-01-19,1.2389203451168989
