Date,City,Accidents,lat,lng
2016-04,Whippany,4,40.8233,-74.4184
2016-04,Alta,3,42.6717,-95.3045
2016-04,Ames,3,42.0256,-93.6217
2016-04,Armonk,3,41.1319,-73.7138
2016-04,Arroyo Grande,3,35.1241,-120.5845
2016-04,Ashland,3,37.6942,-122.1159
2016-04,Barberton,3,41.0095,-81.6037
2016-04,Barrington,3,42.1515,-88.1281
2016-04,Barstow,3,34.8661,-117.0471
2016-04,Batavia,3,41.8479,-88.3109
2016-04,Bay Shore,3,40.7288,-73.2495
2016-04,Bayonne,3,40.6668,-74.1158
2016-04,Blairstown,3,41.906,-92.0821
2016-04,Boys Town,3,41.2558,-96.1292
2016-04,Brewster,3,48.1015,-119.7762
2016-04,Briarcliff Manor,3,41.14,-73.8438
2016-04,Burlington,3,36.076,-79.4685
2016-04,Camino,3,38.7422,-120.6808
2016-04,Canal Winchester,3,39.8437,-82.8126
2016-04,Clayton,3,35.659,-78.4498
2016-04,Clinton,3,38.7499,-76.9063
2016-04,Columbia,3,34.0378,-80.9036
2016-04,Coopersburg,3,40.5102,-75.3915
2016-04,Courtland,3,36.7123,-77.062
2016-04,Dover,3,39.161,-75.5202
2016-04,East Meadow,3,40.7197,-73.5604
2016-04,East Providence,3,41.8065,-71.3565
2016-04,Elverta,3,38.7185,-121.4455
2016-04,Ephrata,3,40.1811,-76.1812
2016-04,Escalon,3,37.7912,-120.9982
2016-04,Fairborn,3,39.801,-84.0094
2016-04,Farmingdale,3,40.7328,-73.4468
2016-04,Felton,3,37.0392,-122.0808
2016-04,Findlay,3,41.0469,-83.6379
2016-04,Fishers,3,39.9588,-85.9659
2016-04,Foresthill,3,39.0053,-120.8314
2016-04,Galloway,3,39.2339,-80.1277
2016-04,Glen Ellen,3,38.3564,-122.5412
2016-04,Great Neck,3,40.8029,-73.7333
2016-04,Groveport,3,39.8586,-82.8978
2016-04,Highland,3,34.1113,-117.165
2016-04,Huntington,3,38.4109,-82.4345
2016-04,Huntington Station,3,40.8446,-73.405
2016-04,Islandia,3,40.8069,-73.1711
2016-04,Jamul,3,32.7184,-116.8709
2016-04,Jericho,3,40.7875,-73.5416
2016-04,Keasbey,3,40.5143,-74.3078
2016-04,La Honda,3,37.3182,-122.2651
2016-04,La Mirada,3,33.9025,-118.0093
2016-04,Lake Arrowhead,3,34.2531,-117.1944
2016-04,Latham,3,42.7427,-73.7497
2016-04,Lebec,3,34.845,-118.8992
2016-04,Livingston,3,37.3875,-120.7248
2016-04,Llano,3,30.7509,-98.6763
2016-04,Loveland,3,40.4166,-105.0623
2016-04,Malvern,3,34.3734,-92.8205
2016-04,Manhattan Beach,3,33.8894,-118.3967
2016-04,Marina del Rey,3,33.9765,-118.4486
