City,ongelukken,lat,lng
Tampa,5576,27.9945,-82.4447
Miami,14382,25.784,-80.2101
Hialeah,2019,25.8696,-80.3045
Pompano Beach,1036,26.2428,-80.1312
Orlando,13258,28.4773,-81.337
Palm Coast,120,29.5389,-81.2457
Miami Beach,210,25.8171,-80.1396
West Palm Beach,1583,26.7469,-80.132
Clearwater,1919,27.979,-82.7623
Lake Worth,669,32.813,-97.4306
Bradenton,1799,27.4901,-82.5757
Winter Park,830,28.5989,-81.3442
Palm Bay,147,27.9631,-80.6593
Merritt Island,231,28.3139,-80.6708
Pinellas Park,419,27.8589,-82.7078
Fort Myers,2680,26.6194,-81.8302
Boca Raton,871,26.3752,-80.108
Hollywood,1598,26.0293,-80.1679
Palmetto,414,27.5251,-82.5749
Fort Lauderdale,4313,26.1412,-80.1464
Boynton Beach,583,26.5281,-80.0811
Christmas,104,28.5605,-81.0201
Fellsmere,66,27.7241,-80.5974
Sarasota,2004,27.3387,-82.5432
Vero Beach,175,27.6463,-80.393
Wesley Chapel,558,28.2106,-82.3238
Titusville,114,28.5727,-80.8193
Plant City,407,28.014,-82.1201
Windermere,104,28.5028,-81.5377
Gibsonton,184,27.826,-82.3761
Cape Coral,161,26.6443,-81.9957
Port Richey,273,28.2759,-82.7254
New Port Richey,716,28.2468,-82.717
Melbourne,506,28.1086,-80.6627
Spring Hill,1262,28.4798,-82.53
North Fort Myers,554,26.7244,-81.8485
Brooksville,993,28.5404,-82.3903
Lutz,491,28.1396,-82.4467
Tarpon Springs,299,28.1493,-82.7623
Palm Harbor,760,28.0847,-82.7481
Lakewood Ranch,38,27.4185,-82.3948
Bonita Springs,447,26.3558,-81.7859
Seffner,238,27.9981,-82.2735
Lakeland,442,28.0557,-81.9545
Odessa,136,31.8801,-102.3448
Micanopy,188,29.506,-82.2806
Sun City Center,48,27.715,-82.3569
