datetime,Temp,Humidity,Wind_Speed_km,Temp_bins,Humidity_bins,Wind_Speed_bins,date,count,count_bins,Temp_norm,Humid_norm,weather_score
2016-12-10,287.1780416666667,70.375,0.012763241863433316,Low,Medium,Low,December,31,Low,0.3068317031960208,0.6742195367573012,0.9938144818167554
2016-12-11,293.965,38.625,0.17613273771537974,Medium,Low,Medium,December,25,Low,0.17526355869684299,0.29053373615307154,0.6419300325652942
2016-12-12,289.05458333333337,83.875,0.13911933631142312,Low,High,Low,December,65,High,0.17285999857214077,0.8373615307150052,1.149340865598569
2016-12-13,288.3233333333333,83.5,0.10721123165283984,Low,High,Low,December,75,High,0.22506603840936804,0.8328298086606246,1.1651070787228326
2016-12-14,287.2129166666667,83.375,0.12444160816847481,Low,High,Low,December,70,High,0.3043418766807071,0.8313192346424977,1.2601027194916796
2016-12-15,288.0891666666667,86.08333333333333,0.1269942565411615,Low,High,Low,December,62,High,0.2417838699697752,0.8640483383685802,1.2328264648795169
2016-12-16,287.51235806666665,88.95833333333333,0.8825781748564135,Low,High,High,December,94,High,0.28296389424335605,0.8987915407854986,2.064333609885268
2016-12-17,283.726255325,44.583333333333336,0.496490108487556,Low,Low,High,December,38,Medium,0.5532646539825309,0.36253776435045326,1.41229252682054
2016-12-18,282.3850664916667,46.208333333333336,0.12061263560944481,Low,Low,Low,December,41,Medium,0.649015980700123,0.3821752265861028,1.1518038428956707
2016-12-19,285.5670544416667,28.541666666666668,0.17485641352903641,Low,Low,Medium,December,60,High,0.4218447127626637,0.16868076535750257,0.7653818916492028
2016-12-20,287.60291666666666,15.541666666666666,0.09572431397574986,Low,Low,Low,December,48,Medium,0.2764986554341886,0.01158106747230613,0.3838040368822446
2016-12-21,289.6245833333333,31.0,0.16336949585194643,Medium,Low,Medium,December,49,Medium,0.13216605982723223,0.19838872104733132,0.49392427672651
2016-12-22,286.83125,87.16666666666667,0.18379068283343972,Low,High,Medium,December,48,Medium,0.3315901573023005,0.8771399798590134,1.3925208199947536
2016-12-23,286.9691666666667,82.20833333333333,0.17485641352903641,Low,High,Medium,December,42,Medium,0.32174388995978015,0.8172205438066467,1.3138208472954633
2016-12-24,284.95958333333334,74.04166666666667,0.6860242501595407,Low,High,High,December,36,Low,0.4652138216605972,0.7185297079556899,1.8697677797758279
2016-12-25,281.515,51.083333333333336,0.2086790044671347,Low,Low,Medium,December,26,Low,0.7111325289736078,0.44108761329305146,1.3608991467337939
2016-12-26,282.3775,55.41666666666666,0.11167836630504152,Low,Low,Low,December,38,Medium,0.6495561742938043,0.4934541792547834,1.2546887198536292
2016-12-27,285.29833333333335,43.458333333333336,0.1997447351627314,Low,Low,Medium,December,37,Low,0.44102948525737,0.3489425981873112,0.9897168186074126
2016-12-28,287.57125,35.958333333333336,0.13337587747287813,Low,Low,Low,December,28,Low,0.27875942980890395,0.25830815709969795,0.6704434643814801
2016-12-29,289.1958333333333,34.75,0.10593490746649652,Low,Low,Low,December,52,Medium,0.16277575497965444,0.24370594159113798,0.512416604037289
2016-12-30,289.0825,59.708333333333336,0.2259093809827697,Low,Low,Medium,December,52,Medium,0.17086694747864375,0.5453172205438067,0.9420935490052201
2016-12-31,286.4166666666667,90.16666666666669,0.2858966177409062,Low,High,Medium,December,27,Low,0.36118845339235006,0.9133937562940588,1.560478827427315
2017-01-01,282.1508333333333,83.54166666666667,0.1882578174856414,Low,High,Medium,January,5,Low,0.6657385592917829,0.8333333333333336,1.6873297101107578
2017-01-02,286.5204166666667,66.33333333333333,0.1640076579451181,Low,Medium,Medium,January,14,Low,0.3537814426120266,0.6253776435045317,1.1431667440616764
2017-01-03,286.3220833333333,52.16666666666666,0.19655392469687305,Low,Low,Medium,January,46,Medium,0.36794102948526,0.4541792547834843,1.0186742089656173
2017-01-04,288.61333333333334,52.125,0.36949585194639445,Low,Low,High,January,30,Low,0.20436210466195465,0.4536757301107755,1.0275336867191245
2017-01-05,293.7629166666666,55.958333333333336,0.3082322910019145,Medium,Low,High,January,55,Medium,0.1608362485423954,0.5000000000000001,0.96906853954431
2017-01-06,291.3220833333333,75.91666666666667,0.26547543075941293,Medium,High,Medium,January,54,Medium,0.01097665452988209,0.7411883182275933,1.0176404035168884
2017-01-07,293.4770833333333,83.79166666666667,0.38098276962348443,Medium,High,High,January,38,Medium,0.1404297851074486,0.8363544813695873,1.3577670361005203
2017-01-08,297.5129166666667,69.875,0.0689215060625399,High,Medium,Low,January,25,Low,0.42855952975893286,0.6681772406847937,1.1656582765062664
2017-01-09,302.8616666666667,56.41666666666666,0.10912571793235483,High,Low,Low,January,61,High,0.810422169867448,0.5055387713997985,1.4250866591996014
2017-01-10,293.62708333333336,72.20833333333333,0.2890874282067646,Medium,Medium,Medium,January,60,High,0.1511387163561124,0.6963746223564955,1.1366007669193725
