date,Temperature,count
2017-08-30,Not Freezing,336.0
2017-08-31,Not Freezing,216.0
2017-09-01,Freezing,312.0
2017-09-02,Freezing,72.0
2017-09-03,Not Freezing,120.0
2017-09-04,Not Freezing,144.0
2017-09-05,Not Freezing,288.0
2017-09-06,Not Freezing,144.0
2017-09-07,Not Freezing,408.0
2017-09-08,Not Freezing,504.0
2017-09-09,Not Freezing,168.0
2017-09-10,Not Freezing,120.0
2017-09-11,Freezing,360.0
2017-09-13,Not Freezing,432.0
2017-09-14,Not Freezing,456.0
2017-09-15,Not Freezing,312.0
2017-09-16,Not Freezing,240.0
2017-09-17,Not Freezing,72.0
2017-09-18,Not Freezing,384.0
2017-09-19,Not Freezing,672.0
2017-09-20,Not Freezing,456.0
2017-09-21,Not Freezing,360.0
2017-09-22,Not Freezing,480.0
2017-09-23,Not Freezing,192.0
2017-09-24,Not Freezing,120.0
2017-09-25,Not Freezing,264.0
2017-09-26,Not Freezing,384.0
2017-09-27,Not Freezing,336.0
2017-09-28,Not Freezing,360.0
2017-09-29,Not Freezing,408.0
2017-09-30,Not Freezing,120.0
2017-10-01,Freezing,48.0
2017-10-02,Freezing,168.0
2017-10-03,Freezing,336.0
2017-10-04,Not Freezing,336.0
2017-10-05,Not Freezing,384.0
2017-10-06,Not Freezing,432.0
2017-10-07,Not Freezing,216.0
2017-10-08,Not Freezing,360.0
2017-10-09,Not Freezing,480.0
2017-10-10,Not Freezing,288.0
2017-10-11,Freezing,816.0
2017-10-13,Not Freezing,216.0
2017-10-14,Not Freezing,192.0
2017-10-15,Not Freezing,384.0
2017-10-16,Not Freezing,384.0
2017-10-17,Not Freezing,384.0
2017-10-18,Not Freezing,240.0
2017-10-19,Not Freezing,288.0
2017-10-20,Not Freezing,240.0
2017-10-21,Not Freezing,96.0
2017-10-22,Not Freezing,120.0
2017-10-23,Not Freezing,120.0
2017-10-24,Not Freezing,72.0
2017-10-25,Not Freezing,120.0
2017-10-26,Not Freezing,120.0
2017-10-27,Not Freezing,144.0
2017-10-28,Not Freezing,24.0
2017-10-30,Not Freezing,48.0
2017-10-31,Not Freezing,144.0
2017-11-01,Freezing,72.0
2017-11-02,Freezing,288.0
2017-11-03,Freezing,96.0
2017-11-05,Not Freezing,48.0
2017-11-06,Not Freezing,168.0
2017-11-08,Not Freezing,168.0
2017-11-09,Not Freezing,72.0
2017-11-10,Not Freezing,48.0
2017-11-13,Not Freezing,144.0
2017-11-14,Not Freezing,144.0
2017-11-15,Not Freezing,72.0
2017-11-16,Not Freezing,168.0
2017-11-17,Not Freezing,168.0
2017-11-18,Not Freezing,600.0
2017-11-19,Not Freezing,144.0
2017-11-20,Freezing,216.0
2017-11-21,Not Freezing,408.0
2017-11-22,Freezing,384.0
2017-11-23,Freezing,120.0
2017-11-24,Freezing,72.0
2017-11-25,Not Freezing,144.0
2017-11-26,Freezing,168.0
2017-11-27,Freezing,432.0
2017-11-28,Not Freezing,384.0
2017-11-29,Not Freezing,528.0
2017-11-30,Not Freezing,16.0
2017-12-01,Freezing,288.0
2017-12-03,Freezing,288.0
2017-12-04,Not Freezing,408.0
2017-12-05,Not Freezing,144.0
2017-12-06,Not Freezing,144.0
2017-12-07,Not Freezing,216.0
2017-12-08,Not Freezing,192.0
2017-12-09,Not Freezing,144.0
2017-12-10,Not Freezing,120.0
2017-12-11,Not Freezing,288.0
